course,code,credits,prerequisites,corequisites,semesters offered (1 = fall; 2 = winter; 3 = summer),note,category,,extra notes
Composition and Argumentation for Engineers,ENCS 272,3,Completion of all ESL courses required on admission,none,1;2;3,,Engineering and Computer Science,,
Technical Writing and Communication,ENCS 282,3,Passing the Engineering Writing Test (EWT) or by passing ENCS 272 with a grade of C- or higher,none,1;2;3,,Engineering and Computer Science,,
Social and Ethical Dimensions of Information and Communication Technologies,ENCS 393,3,ENCS 282; 40 credits in a BCompSc program,none,1;2;3,,Engineering and Computer Science,,
"Creativity, Innovation and Critical Thinking in Science and Technology",ENCS 483,3,Minimum of 60 credits in an engineering program or minimum 45 credits in a non-engineering program.,none,1;2;3,Students who have received credit for ENCS 283 may not take this course for credit.,Engineering and Computer Science,,
Development and Global Engineering,ENCS 484,3,Minimum of 60 credits in an engineering program or minimum 45 credits in a non-engineering program.,none,1,Students who have received credit for this topic under an ENCS 498 number may not take this course for credit.,Engineering and Computer Science,,
Topic in Engineering and Computer Science,ENCS 498,3,Permission of the Faculty,none,1,This course may be offered in a given year upon the authorization of the Faculty. The course content may vary from offering to offering.,Engineering and Computer Science,,
Engineering Industrial Experience Reflective Learning I,ENGR 108,3,Permission of the Faculty,none,1;3,,Engineering,,ENGR 107 Engr. Indus. Experience I ?
Professional Practice and Responsibility,ENGR 201,1.5,none,none,1;2;3,,Engineering,,
Sustainable Development and Environmental Stewardship,ENGR 202,1.5,none,none,1;2;3,,Engineering,,
Engineering Industrial Experience Reflective Learning II,ENGR 208,3,ENGR 108 and permission of the Faculty,none,1;3,,Engineering,,ENGR 207 Engr. Indus. Experience II ?
Applied Ordinary Differential Equations,ENGR 213,3,MATH 204 (Cegep Mathematics 105); MATH 205 (Cegep Mathematics 203),Math 204 (Cegep Mathematics 105),1;2;3,,Engineering,,
Applied Advanced Calculus,ENGR 233,3,MATH 204 (Cegep Mathematics 105); MATH 205 (Cegep Mathematics 203),none,1;2,,Engineering,,
Statics,ENGR 242,3,ENGR 213; PHYS 204; MATH 204,ENGR 213,1;2,,Engineering,,
Dynamics,ENGR 243,3,ENGR 213; ENGR 242,none,2;3,,Engineering,,
